trialNumberGlobal,trialNumberBlock,blockNumber,timeExperiment,timeBlock,reactionTime,blockType,fireType,targetType,numDistractors,numDistractorsSing,blockFirePosition,targetPosition,trialFirePosition,
0,0,0,61.33232,2.268446,1.38727,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-8.0, 3.0, 19.0)","(0.0, 0.0, 0.0)",
1,1,0,64.2137,5.14984,0.5691791,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-18.0, 1.0, 10.0)","(-15.0, 4.0, 4.0)",
2,2,0,68.23469,9.170863,2.233107,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(16.0, 1.0, 6.0)","(0.0, 0.0, 0.0)",
3,3,0,70.6141,11.55032,1.028535,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-7.0, 2.0, 3.0)","(0.0, 0.0, 0.0)",
4,4,0,74.34414,15.28032,1.686176,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(9.0, 3.0, 4.0)","(0.0, 0.0, 0.0)",
5,5,0,77.38267,18.31887,0.5129451,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-17.0, 1.0, 5.0)","(0.0, 0.0, 0.0)",
6,6,0,80.70019,21.63632,0.6374095,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-16.0, 4.0, 17.0)","(-5.0, 3.0, 2.0)",
7,7,0,84.52007,25.45623,1.284653,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(19.0, 3.0, 4.0)","(0.0, 0.0, 0.0)",
8,8,0,86.93209,27.86826,0.6151327,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-5.0, 3.0, 6.0)","(0.0, 0.0, 0.0)",
9,9,0,89.69267,30.6288,0.7534656,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(7.0, 3.0, 1.0)","(-17.0, 1.0, 10.0)",
10,10,0,93.28807,34.22414,1.105007,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-14.0, 1.0, 8.0)","(0.0, 0.0, 0.0)",
11,11,0,95.70103,36.63708,1.105007,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(4.0, 4.0, 18.0)","(-13.0, 4.0, 13.0)",
12,12,0,98.49311,39.42916,0.536449,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-20.0, 3.0, 12.0)","(0.0, 0.0, 0.0)",
13,13,0,101.3235,42.25962,0.2898847,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(13.0, 3.0, 16.0)","(0.0, 0.0, 0.0)",
14,14,0,104.3249,45.26094,1.23993,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-16.0, 2.0, 0.0)","(0.0, 0.0, 0.0)",
15,15,0,107.6855,48.62168,1.406713,BlockFire,trial,Fire,30,6,"(-17.0, 2.0, 15.0)","(18.0, 2.0, 13.0)","(19.0, 4.0, 15.0)",
16,16,0,110.568,51.50416,1.318024,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-10.0, 1.0, 5.0)","(0.0, 0.0, 0.0)",
