position,timeFrame,voxelType,fireType,
"(-19.0, 1.0, 13.0)",480.571,Empty,BlockFire,
"(-19.0, 1.0, 14.0)",480.571,Empty,BlockFire,
"(-19.0, 1.0, 15.0)",480.5942,Distractor,BlockFire,
"(-19.0, 1.0, 16.0)",480.571,Empty,BlockFire,
"(-19.0, 2.0, 13.0)",480.571,Empty,BlockFire,
"(-19.0, 2.0, 14.0)",480.571,Empty,BlockFire,
"(-19.0, 2.0, 15.0)",480.571,Empty,BlockFire,
"(-19.0, 2.0, 16.0)",480.5942,Distractor,BlockFire,
"(-19.0, 3.0, 13.0)",480.571,Empty,BlockFire,
"(-19.0, 3.0, 14.0)",480.571,Empty,BlockFire,
"(-19.0, 3.0, 15.0)",480.571,Empty,BlockFire,
"(-19.0, 3.0, 16.0)",480.571,Empty,BlockFire,
"(-19.0, 4.0, 13.0)",480.5942,Distractor,BlockFire,
"(-19.0, 4.0, 14.0)",480.571,Empty,BlockFire,
"(-19.0, 4.0, 15.0)",480.571,Empty,BlockFire,
"(-19.0, 4.0, 16.0)",480.571,Empty,BlockFire,
"(-18.0, 1.0, 13.0)",480.5942,Distractor,BlockFire,
"(-18.0, 1.0, 14.0)",480.571,Empty,BlockFire,
"(-18.0, 1.0, 15.0)",480.571,Empty,BlockFire,
"(-18.0, 1.0, 16.0)",480.571,Empty,BlockFire,
"(-18.0, 2.0, 13.0)",480.571,Empty,BlockFire,
"(-18.0, 2.0, 14.0)",480.571,Empty,BlockFire,
"(-18.0, 2.0, 15.0)",480.571,Empty,BlockFire,
"(-18.0, 2.0, 16.0)",480.571,Empty,BlockFire,
"(-18.0, 3.0, 13.0)",480.571,Empty,BlockFire,
"(-18.0, 3.0, 14.0)",480.5942,Distractor,BlockFire,
"(-18.0, 3.0, 15.0)",480.571,Empty,BlockFire,
"(-18.0, 3.0, 16.0)",480.571,Empty,BlockFire,
"(-18.0, 4.0, 13.0)",480.571,Empty,BlockFire,
"(-18.0, 4.0, 14.0)",480.571,Empty,BlockFire,
"(-18.0, 4.0, 15.0)",480.571,Empty,BlockFire,
"(-18.0, 4.0, 16.0)",480.571,Empty,BlockFire,
"(-17.0, 1.0, 13.0)",480.571,Empty,BlockFire,
"(-17.0, 1.0, 14.0)",480.571,Empty,BlockFire,
"(-17.0, 1.0, 15.0)",480.571,Empty,BlockFire,
"(-17.0, 1.0, 16.0)",480.571,Empty,BlockFire,
"(-17.0, 2.0, 13.0)",480.571,Empty,BlockFire,
"(-17.0, 2.0, 14.0)",480.571,Empty,BlockFire,
"(-17.0, 2.0, 15.0)",480.571,Empty,BlockFire,
"(-17.0, 2.0, 16.0)",480.571,Empty,BlockFire,
"(-17.0, 3.0, 13.0)",480.571,Empty,BlockFire,
"(-17.0, 3.0, 14.0)",480.571,Empty,BlockFire,
"(-17.0, 3.0, 15.0)",480.571,Empty,BlockFire,
"(-17.0, 3.0, 16.0)",480.571,Empty,BlockFire,
"(-17.0, 4.0, 13.0)",480.571,Empty,BlockFire,
"(-17.0, 4.0, 14.0)",480.571,Empty,BlockFire,
"(-17.0, 4.0, 15.0)",480.571,Empty,BlockFire,
"(-17.0, 4.0, 16.0)",480.571,Empty,BlockFire,
"(-16.0, 1.0, 13.0)",480.571,Empty,BlockFire,
"(-16.0, 1.0, 14.0)",480.571,Empty,BlockFire,
"(-16.0, 1.0, 15.0)",480.571,Empty,BlockFire,
"(-16.0, 1.0, 16.0)",480.5942,Distractor,BlockFire,
"(-16.0, 2.0, 13.0)",480.571,Empty,BlockFire,
"(-16.0, 2.0, 14.0)",480.571,Empty,BlockFire,
"(-16.0, 2.0, 15.0)",480.571,Empty,BlockFire,
"(-16.0, 2.0, 16.0)",480.571,Empty,BlockFire,
"(-16.0, 3.0, 13.0)",480.571,Empty,BlockFire,
"(-16.0, 3.0, 14.0)",480.571,Empty,BlockFire,
"(-16.0, 3.0, 15.0)",480.571,Empty,BlockFire,
"(-16.0, 3.0, 16.0)",480.571,Empty,BlockFire,
"(-16.0, 4.0, 13.0)",480.571,Empty,BlockFire,
"(-16.0, 4.0, 14.0)",480.571,Empty,BlockFire,
"(-16.0, 4.0, 15.0)",480.571,Empty,BlockFire,
"(-16.0, 4.0, 16.0)",480.571,Empty,BlockFire,
"(-3.0, 2.0, 6.0)",480.582,Distractor,None,
"(-5.0, 1.0, 14.0)",480.582,Distractor,None,
"(10.0, 4.0, 18.0)",480.582,Distractor,None,
"(17.0, 1.0, 1.0)",480.582,Distractor,None,
"(13.0, 2.0, 7.0)",480.582,Distractor,None,
"(-8.0, 4.0, 1.0)",480.582,Distractor,None,
"(18.0, 1.0, 0.0)",480.582,Distractor,None,
"(12.0, 2.0, 19.0)",480.582,Distractor,None,
"(9.0, 1.0, 16.0)",480.582,Distractor,None,
"(10.0, 3.0, 9.0)",480.582,Distractor,None,
"(18.0, 3.0, 8.0)",480.582,Distractor,None,
"(-18.0, 2.0, 17.0)",480.582,Distractor,None,
"(10.0, 1.0, 5.0)",480.582,Distractor,None,
"(0.0, 4.0, 15.0)",480.582,Distractor,None,
"(10.0, 4.0, 3.0)",480.582,Distractor,None,
"(-11.0, 4.0, 10.0)",480.582,Distractor,None,
"(-8.0, 2.0, 11.0)",480.582,Distractor,None,
"(-17.0, 3.0, 4.0)",480.582,Distractor,None,
"(-11.0, 2.0, 7.0)",480.582,Distractor,None,
"(-1.0, 3.0, 11.0)",480.582,Distractor,None,
"(-20.0, 2.0, 5.0)",480.582,Distractor,None,
"(-1.0, 1.0, 12.0)",480.582,Distractor,None,
"(4.0, 1.0, 8.0)",480.582,Distractor,None,
"(18.0, 1.0, 10.0)",480.582,Distractor,None,
"(2.0, 2.0, 7.0)",480.582,Distractor,None,
"(-8.0, 2.0, 2.0)",480.582,Distractor,None,
"(5.0, 3.0, 16.0)",480.582,Distractor,None,
"(-4.0, 4.0, 0.0)",480.582,Distractor,None,
"(1.0, 1.0, 7.0)",480.582,Distractor,None,
"(5.0, 2.0, 15.0)",480.582,Distractor,None,
"(14.0, 3.0, 12.0)",0,Empty,None,
"(14.0, 1.0, 7.0)",0,Empty,None,
"(9.0, 1.0, 3.0)",480.6284,Target,None,
